player,word,score,dia
cesar,anexo,3,100
cesar,tapiz,3,101
cesar,fecha,2,102
cesar,sesgo,3,103
cesar,ligar,2,104
cesar,chino,3,105
cesar,patio,3,106
cesar,votar,3,107
cesar,torso,2,108
cesar,avion,3,109
cesar,dudar,3,110
cesar,forja,3,111
cesar,odiar,3,112
cesar,utero,2,113
cesar,cauce,2,114
cesar,hogar,3,115
cesar,relax,2,116
cesar,yelmo,3,117
cesar,regla,2,118
cesar,marzo,3,119
cesar,cairo,3,120
cesar,aereo,2,121
cesar,negro,2,122
cesar,modal,3,123
cesar,caldo,3,124
cesar,museo,2,125
cesar,abrir,2,126
cesar,laser,2,127
cesar,signo,2,128
cesar,nariz,3,129
cesar,peine,3,130
cesar,turno,3,131
cesar,coche,3,132
cesar,pleno,3,133
cesar,fibra,3,134
cesar,faena,4,135
cesar,sitio,2,136
cesar,balsa,3,137
cesar,ambar,3,138
cesar,recta,2,139
cesar,aquel,3,140
cesar,impar,4,141
cesar,tonto,3,142
cesar,tirar,3,143
cesar,caras,2,144
cesar,fluir,3,145
cesar,japon,3,146
cesar,lugar,3,147
cesar,coger,2,148
cesar,traza,3,149
cesar,tibio,3,150
cesar,tenis,3,151
cesar,monto,3,152
cesar,curva,3,153
cesar,oveja,3,154
cesar,rumor,3,155
cesar,sobra,2,156
cesar,helio,3,157
cesar,abaco,3,158
cesar,gallo,3,159
cesar,trama,3,160
cesar,moler,2,161
cesar,barro,4,162
cesar,bando,4,163
cesar,lista,2,164
cesar,terna,2,165
cesar,claro,3,166
cesar,burla,3,167
cesar,salir,2,168
cesar,magia,3,169
cesar,boxeo,3,170
cesar,combo,3,171
cesar,arepa,3,172
cesar,dolar,3,173
cesar,rifar,4,174
cesar,ideal,2,175
cesar,cinco,4,176
cesar,cenar,2,177
cesar,selva,2,178
cesar,rayon,3,179
cesar,tigre,3,180
cesar,opera,3,181
cesar,clave,2,182
cesar,arpon,3,183
cesar,karma,3,184
cesar,subir,2,185
cesar,banda,3,186
cesar,cavar,2,187
cesar,tenaz,2,188
cesar,prima,3,189
cesar,cerda,2,190
cesar,arder,2,191
cesar,pañal,3,192
cesar,mixta,4,193
cesar,limon,3,194
cesar,buena,4,195
cesar,espia,3,196
cesar,horno,3,197
cesar,aguda,3,198
cesar,polea,3,199
cesar,sifon,2,200
cesar,atomo,3,201
cesar,cisne,2,202
cesar,sufro,3,203
cesar,sorda,2,204
cesar,quedo,3,205
cesar,teñir,2,206
cesar,novia,4,207
cesar,sordo,3,208
cesar,teson,2,209
cesar,curso,2,210
cesar,suena,2,211
cesar,queso,3,212
cesar,frase,2,213
cesar,flaco,3,214
cesar,rubio,3,215
cesar,drama,3,216
cesar,traje,3,217
cesar,calvo,3,218
cesar,suero,2,219
cesar,ebrio,3,220
cesar,arbol,3,221
cesar,gasto,3,222
cesar,golfo,3,223
cesar,cacho,2,224
cesar,primo,3,225
cesar,rombo,3,226
cesar,falsa,4,227
cesar,diosa,3,228
cesar,flaca,3,229
cesar,bahia,3,230
cesar,dupla,3,231
cesar,minar,4,232
cesar,ilesa,3,233
cesar,unica,3,234
cesar,viaje,3,235
cesar,anual,3,236
cesar,gansa,3,237
cesar,muela,3,238
toesa,corta,2,38
toesa,feliz,4,39
toesa,miope,3,40
toesa,mojar,3,41
toesa,cesta,3,42
toesa,soplo,2,43
toesa,nueve,3,44
toesa,radio,3,45
toesa,sexto,2,46
toesa,sucio,2,47
toesa,papel,3,48
toesa,huevo,3,49
toesa,polar,3,50
toesa,rotar,2,51
toesa,fuego,3,52
toesa,lucir,2,53
toesa,macho,3,54
toesa,braza,3,55
toesa,serio,2,56
toesa,libra,3,57
toesa,enano,3,58
toesa,salsa,3,59
toesa,ciego,3,60
toesa,mujer,3,61
toesa,sauna,3,62
toesa,malta,3,63
toesa,civil,3,64
toesa,flota,2,65
toesa,chile,3,66
toesa,acudo,3,67
toesa,modas,3,68
toesa,criar,3,69
toesa,hurto,2,70
toesa,latir,2,71
toesa,risas,3,72
toesa,ganso,2,73
toesa,suiza,3,74
toesa,otoño,2,75
toesa,suelo,2,76
toesa,exito,3,77
toesa,caber,3,78
toesa,epica,3,79
toesa,perra,3,80
toesa,juego,3,81
toesa,igneo,3,82
toesa,ingle,4,83
toesa,mango,3,84
toesa,caida,2,85
toesa,doler,2,86
toesa,album,3,87
toesa,sudar,3,88
toesa,duque,3,89
toesa,curro,3,90
toesa,musgo,2,91
toesa,varon,3,92
toesa,crear,2,93
toesa,carne,3,94
toesa,ovulo,3,95
toesa,nivel,3,96
toesa,villa,3,97
toesa,moral,3,98
toesa,parte,2,99
toesa,anexo,2,100
toesa,tapiz,3,101
toesa,fecha,3,102
toesa,sesgo,3,103
toesa,ligar,2,104
toesa,chino,3,105
toesa,patio,3,106
toesa,votar,3,107
toesa,torso,2,108
toesa,avion,3,109
toesa,dudar,3,110
toesa,forja,3,111
toesa,odiar,4,112
toesa,utero,3,113
toesa,cauce,4,114
toesa,hogar,3,115
toesa,relax,3,116
toesa,yelmo,3,117
toesa,regla,3,118
toesa,marzo,3,119
toesa,cairo,3,120
toesa,aereo,2,121
toesa,negro,3,122
toesa,modal,3,123
toesa,caldo,3,124
toesa,museo,3,125
toesa,abrir,3,126
toesa,laser,3,127
toesa,signo,2,128
toesa,nariz,3,129
toesa,peine,3,130
toesa,turno,2,131
toesa,coche,2,132
toesa,pleno,3,133
toesa,fibra,3,134
toesa,faena,3,135
toesa,sitio,2,136
toesa,balsa,3,137
toesa,ambar,3,138
toesa,recta,2,139
toesa,aquel,3,140
toesa,impar,4,141
toesa,tonto,2,142
toesa,tirar,3,143
toesa,caras,3,144
toesa,fluir,3,145
toesa,japon,3,146
toesa,lugar,3,147
toesa,coger,2,148
toesa,traza,2,149
toesa,tibio,3,150
toesa,tenis,2,151
toesa,monto,3,152
toesa,curva,3,153
toesa,oveja,2,154
toesa,rumor,3,155
toesa,sobra,2,156
toesa,helio,3,157
toesa,abaco,3,158
toesa,gallo,4,159
toesa,trama,3,160
toesa,moler,2,161
toesa,barro,3,162
toesa,bando,4,163
toesa,lista,2,164
toesa,terna,2,165
toesa,claro,3,166
toesa,burla,3,167
toesa,salir,3,168
toesa,magia,3,169
toesa,boxeo,2,170
toesa,combo,3,171
toesa,arepa,2,172
toesa,dolar,3,173
toesa,rifar,3,174
toesa,ideal,3,175
toesa,cinco,3,176
toesa,cenar,3,177
toesa,selva,2,178
toesa,rayon,3,179
toesa,tigre,2,180
toesa,opera,3,181
toesa,clave,4,182
toesa,arpon,3,183
toesa,karma,4,184
toesa,subir,2,185
toesa,banda,3,186
toesa,cavar,3,187
toesa,tenaz,3,188
toesa,prima,3,189
toesa,cerda,3,190
toesa,arder,3,191
toesa,pañal,3,192
toesa,mixta,3,193
toesa,limon,3,194
toesa,buena,3,195
toesa,espia,3,196
toesa,horno,3,197
toesa,aguda,3,198
toesa,polea,2,199
toesa,sifon,2,200
toesa,atomo,3,201
toesa,cisne,2,202
toesa,sufro,2,203
toesa,sorda,3,204
toesa,quedo,3,205
toesa,teñir,2,206
toesa,novia,3,207
toesa,sordo,3,208
toesa,teson,2,209
toesa,curso,2,210
toesa,suena,2,211
toesa,queso,3,212
toesa,frase,2,213
toesa,flaco,4,214
toesa,rubio,3,215
toesa,drama,3,216
toesa,traje,2,217
toesa,calvo,3,218
toesa,suero,3,219
toesa,ebrio,3,220
toesa,arbol,4,221
toesa,gasto,2,222
toesa,golfo,3,223
toesa,cacho,3,224
toesa,primo,3,225
toesa,rombo,3,226
toesa,falsa,3,227
toesa,diosa,2,228
toesa,flaca,3,229
toesa,bahia,3,230
toesa,dupla,3,231
toesa,minar,4,232
toesa,ilesa,3,233
toesa,unica,3,234
toesa,viaje,3,235
toesa,anual,3,236
toesa,gansa,3,237
toesa,muela,3,238
